Cím,YouTube link,Közzététel dátuma,Leírás,Összefoglaló
"Mi a félelem, mitől félünk?; Hogyan születik a türelem? | Önkényes Mérvadó #973",https://www.youtube.com/watch?v=pMeGAkgNiuw,2025-01-02T17:00:06Z,"Iratkozz fel a csatornára, és ha teheted, támogasd itt az Önkényes Mérvadót:
https://www.donably.com/szelsokozep

Mi a félelem?; Elfojtás; Félelemből cselekvés; Fuss vagy küzdj!
Tipikus fóbiák, mint félelmek forrásai
Mi a türelem, mikor voltál türelmes?

Műsorvezetők: Horváth Oszkár, Magyar Dávid
Szerkesztő: Czifrus Réka
Felvétel: 2024.10.04.

YouTube: https://www.youtube.com/@szelsokozepprodukcio
Facebook: https://www.facebook.com/onkenyes
Web: https://onkenyes.hu/",**Féltelem és türelem**  **Féltelem**  * Az életfenntartásunk alapvető szükséglete  amely a veszélyhelyzetekre adott válaszreakció * A félelem különböző formái: fizikai veszélyek (ragadozók  wypadok)  társadalmi helyzetek (megaláztatás  elutasítás) és saját érzelmeink (magány  szorongás) * A félelem fizikai tünetei: gyors szívverés  izzadás  remegés  izomfeszültség * A félelem pszichés tünetei: szorongás  pánik  fóbiák  nyugtalanság * A félelemnek fontos evolúciós szerepe van  véd minket a veszélyektől * A félelem azonban akkor is fennállhat  amikor nincsenek valódi veszélyek  ezt nevezik irracionális félelemnek * Az irracionális félelmek legyőzéséhez különböző technikák alkalmazhatóak  például a fokozatos szembenézés  a kognitív viselkedésterápia és a mindfulness meditáció  **Türelem**  * A késlekedések és a nehézségek nyugodt elviselésének képessége * A belső kontrollérzettel és az empátiával összefügg * A türelem a türelmetlenség  a harag és a frusztráció ellentéte * A türelemhez vezető pillanatokban lehetőségünk van önuralmunk fejlesztésére * A türelemnek különösen fontos szerepe van a társas kapcsolatokban * A türelmetlenség gyakran a szégyenérzetből fakad  amely eltorzíthatja a félelemérzetet * A szégyenérzet leküzdésével a félelemérzet is csökkenthető * A türelem fejlesztésének módjai közé tartoznak a mindfulness  a hálaterápia és a szociális interakciók
Karácsonyi szorongás és megfelelési kényszer; Mindenki magányos valamiben | Önkényes Mérvadó #972,https://www.youtube.com/watch?v=ksbb-z2bjTE,2024-12-25T17:00:06Z,"Az Inga falait díszítő arcképcsarnok képeiből készült naptár már elérhető a Szélsőközép Webshopban: https://szelsokozep.hu/inga-falinaptar-2025

Iratkozz fel a csatornára, és ha teheted, támogasd itt az Önkényes Mérvadót:
https://www.donably.com/szelsokozep

Szorongás és megfelelési kényszer karácsony idején; Céges ajándékozás
Segít-e a szenvedés relativizálása?; Magányosan az ünnepek alatt

Műsorvezetők: Puzsér Róbert, Horváth Oszkár, Nagy Gergely
Szerkesztő: Czifrus Réka
Felvétel: 2024.12.20.

YouTube: https://www.youtube.com/@szelsokozepprodukcio
Facebook: https://www.facebook.com/onkenyes
Web: https://onkenyes.hu/","A mai ember szoronghat az ünnepek alatt  mert nem érzi Isten figyelmét  vagy nem tudja  kinek kéne megfelelnie  vagy mert belül azt érzi  hogy az ünnepek más jelentésűek  és nem áll mögöttük igazi tartalom. Ezzel szemben a régi ember is szoronghatott az ünnepek közeledtével  mert attól félt  hogy nem fog megfelelni a feladatnak. Ha azonban valaki a lehető legjobbat hozza ki magából  az ünnepből  és szereti azt  aki elrendelte az ünnepet  akkor szoronghat ugyan  de a szeretet kapcsolatban miért lenne ez? Az ünnep az összeszedettség képét kívánja mutatni  hogy az atya úristen bármikor ""lefényképezhessen"" minket  de valójában az ünnepek arra valók  hogy lazítsunk  kiszakadjunk a hétköznapok terheiből  és a családunkra  önmagunkra és az Istenre figyeljünk. Az ünnepek alatti feszültséget és kényszert nem maga az ünnep vagy az azt elrendelő okozza  hanem inkább a körülmények és a hozzáállás. Az ünnep olyan időszak  amikor igyekszünk jobban odafigyelni egymásra  segíteni egymást  és ezt az érzést egész évben érdemes fenntartani. Az egyház eredetileg nem a papságot jelentette  hanem a keresztények közösségét  az ünnepek pedig ennek az egyháznak a közösségi alkalmai voltak. Ma már az ünnepeket a vér szerinti családdal kötjük össze  és ez eltávolított minket Istentől a szomszédaink pedig attól  hogy ünnepi hangulatba kerüljenek  mert a fényfüzérekkel díszített ablakok azt sugallják  hogy itt minden rendben van. A családi ünneplés nem feltétlenül függ össze az elvallástalanodással  a céges karácsonyi rendezvényeken pedig sokszor nem a közösségépítés a cél  hanem a bulis hangulat. Fontos  hogy az ünnepi szellemet ki tudjuk vinni a megszokott körből  és megvalósítsuk a hétköznapokban is  mert valójában ez a céges karácsonyozások valódi lényege. A magány sokak számára elviselhetetlenné teheti az ünnepeket  de ilyenkor fontos az önreflexió és az elfogadás. A magányban lehetőség rejlik önmagunk megismerésére és arra  hogy átgondoljuk  mi tesz minket igazán boldoggá. A szenvedésben fontos az egymás iránti részvét  és az  hogy bátorítást nyújtsunk a szenvedőnek  hogy ne érezze magát egyedül. Az igazi bölcsesség akkor érhető el  ha átértékeljük a szenvedésünket  és rájövünk  hogy Jézus Krisztus is szenvedett  és ez a tudás segíthet nekünk abban  hogy a saját szenvedésünk elviselhetőbbé váljon. A magányosok számára az ünnepi csend segíthet abban  hogy közelebb kerüljenek valamihez  és átgondolják a magány mibenlétét. Az ünnepek a legszebbek azoknak  akiknek van családjuk  de a legszomorúbbak azoknak  akiknek nincs. A magányosok számára nagy ajándék lehet  ha dolgozhatnak szenteste  vagy olyan közösségben tölthetik az ünnepeket  ahol mások is magányosak. A magányunk érvényes  és segíthet nekünk abban  hogy mások fájdalmát is komolyabban vegyük  és ne csak a saját szenvedésünkre koncentráljunk. Fontos  hogy megpróbáljuk visszavezetni a szenvedésünket a ragaszkodáshoz  a gyűlölethez vagy a tévedéshez  és az ellenműveletükkel  a nagylelkűséggel  a szeretettel és az ismeretszerzéssel próbáljuk megszüntetni a szenvedést. Így legközelebb talán már fél év múlva kell majd azon gondolkodnunk  hogy miért vagyunk rosszul."
Orbán tűzszüneti javaslata; Vendégmunkások haza!; Miben hasonlítunk? | Önkényes Mérvadó #971,https://www.youtube.com/watch?v=gWfTEW5LYgo,2024-12-22T17:00:07Z,"Az Inga falait díszítő arcképcsarnok képeiből készült naptár már elérhető a Szélsőközép Webshopban: https://szelsokozep.hu/inga-falinaptar-2025

Iratkozz fel a csatornára, és ha teheted, támogasd itt az Önkényes Mérvadót:
https://www.donably.com/szelsokozep

Orbán tűzszüneti javaslata
Létezik európai identitás?
Vendégmunkások haza!
Miben hasonlítunk?

Műsorvezetők: Puzsér Róbert, Horváth Oszkár, Béndek Ábris
Szerkesztő: Rónyai Júlia
Felvétel időpontja: 2024.12.20.

YouTube: https://www.youtube.com/@szelsokozepprodukcio
Facebook: https://www.facebook.com/onkenyes
Web: https://onkenyes.hu/",**Összefoglaló**  A szöveg a következő témákat tárgyalja:  * A médiában zajló viták minősége * A háborúk természete * Az emberi történelem jó és rossz nézőpontjai * A személyes mentális egészség és fejlődés  **Összegzett tartalom**  * A szerző kritizálja a médiában zajló viták alacsony színvonalát  amelyet a személyeskedés  a félretájékoztatás és a túlzott egyszerűsítés jellemez. * A szerző azt állítja  hogy a háborúk nem oldanak meg semmit  csak további pusztítást és szenvedést okoznak. * A szerző tükröződik az emberi történelem jó és rossz aspektusain  és arra a következtetésre jut  hogy a gonoszság legmélyebb mélységei a náci rezsimhez  míg a jóság legmagasabb csúcsai Jézus Krisztushoz kapcsolódnak. * A szerző megosztja személyes tapasztalatait a mentális egészséggel kapcsolatban  a legjobb állapotát a hétmesterlövész című rádióműsor készítésének idejére teszi  míg a legalját egy olyan időszakra  amikor lecsúszásban és függőségben szenvedett. * A szerző kiemeli az erényes szeretet fontosságát a boldogság és a személyes fejlődés elérésében.
Revans az amerikai egészségbiztosítókon; Elítélik-e Till Tamás gyilkosát? | Önkényes Mérvadó #970,https://www.youtube.com/watch?v=TFhYGhZO_T4,2024-12-18T17:00:06Z,"Az Inga falait díszítő arcképcsarnok képeiből készült naptár már elérhető a Szélsőközép Webshopban: https://szelsokozep.hu/inga-falinaptar-2025

Iratkozz fel a csatornára, és ha teheted, támogasd itt az Önkényes Mérvadót:
https://www.donably.com/szelsokozep

00:00 Revans az amerikai egészségbiztosítói rendszeren: Brian Thompson megölése
39:51 Elítélik-e Till Tamás gyilkosát?

Műsorvezetők: Puzsér Róbert, Horváth Oszkár, Kovács 4 Zoli
Szerkesztő: Czifrus Réka
Felvétel: 2024.12.13.

YouTube: https://www.youtube.com/@szelsokozepprodukcio
Facebook: https://www.facebook.com/onkenyes
Web: https://onkenyes.hu/","Hiba történt: (""Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`  but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 3. The candidate's safety_ratings are: [category: HARM_CATEGORY_SEXUALLY_EXPLICIT\nprobability: NEGLIGIBLE\n  category: HARM_CATEGORY_HATE_SPEECH\nprobability: NEGLIGIBLE\n  category: HARM_CATEGORY_HARASSMENT\nprobability: MEDIUM\n  category: HARM_CATEGORY_DANGEROUS_CONTENT\nprobability: NEGLIGIBLE\n].""  [category: HARM_CATEGORY_SEXUALLY_EXPLICIT probability: NEGLIGIBLE   category: HARM_CATEGORY_HATE_SPEECH probability: NEGLIGIBLE   category: HARM_CATEGORY_HARASSMENT probability: MEDIUM   category: HARM_CATEGORY_DANGEROUS_CONTENT probability: NEGLIGIBLE ])"
Hont András új véleménycentruma; Lázár 99 évre kiadná a pályaudvarokat | Önkényes Mérvadó #969,https://www.youtube.com/watch?v=62KHQ-wU1Sc,2024-12-16T09:30:06Z,"Az Inga falait díszítő arcképcsarnok képeiből készült naptár már elérhető a Szélsőközép Webshopban: https://szelsokozep.hu/inga-falinaptar-2025

Iratkozz fel a csatornára, és ha teheted, támogasd itt az Önkényes Mérvadót:
https://www.donably.com/szelsokozep

Hont András új véleménycentruma, Lázár 99 évre kiadná a pályaudvarokat
Műsorvezetők: Puzsér Róbert, Horváth Oszkár, Egri Viktor, Boros Tamás
Szerkesztő: Rónyai Júlia
Felvétel: 2024.12.13.

YouTube: https://www.youtube.com/@szelsokozepprodukcio
Facebook: https://www.facebook.com/onkenyes
Web: https://onkenyes.hu/",Ebben az összefoglalóban az ötből öt márka  Ceglédi Zoltán  Konok Péter  Média1  Pujsza Zoltán [Zene] [Zene] Orbánt kedvelő [Zene] Orbán Viktor negatív és pozitív oldala a baloldal [Zene] [Zene] öt márka médiavállalkozás [Zene] a havi műsor szereplője [Zene] elhagyták a műsort [Zene] elárultad a közösséget pont [Zene] sajátjait egyenlő távolságot [Zene] közelebb áll a közepe felé miközben [Zene] egyenlő távolság [Zene] nem kell obába menni [Zene] elárultad a közéletet [Zene] a hvg-nél [Zene] a baloldali értelmiségi volt [Zene] [Zene] a hatalom átvétele után [Zene] [Zene] közösséget meg a értékközösséget [Zene] [Zene] közéleti hozzászólások [Zene] [Zene] fényében megszűnik a névtelen pozícióból [Zene] a magyar médiában [Zene] 2021-ig [Zene] nem először [Zene] az öt körül [Zene] privatizációnak [Zene] a magyar közbeszéd rémes [Zene] a véleménycentrum kialakításába [Zene] általában nem [Zene] szempontból van [Zene] a magyar állam érdekében [Zene] a magyar nyilvánosságba [Zene] gyakran kapott [Zene] a saját műsorában [Zene] az öt címmel [Zene] még [Zene] a márka tulajdonosa [Zene] véleménycentrumot [Zene] erőteljesen kiszolgált [Zene] iránt [Zene] politikai ellentétével [Zene] érdekelt [Zene] önkifejezési igényét [Zene] saját [Zene] kérdésfeltevések [Zene] már [Zene] [Zene] megszokott [Zene] [Zene] merész [Zene] a magyar nyilvánosság [Zene] vélemények kommunikációját [Zene] [Zene] nem elég merész [Zene] a magyar nyilvánosság [Zene] ebben [Zene] vélemények kommunikációját [Zene] kritikusan [Zene] a magyar nyilvánosság [Zene] [Zene] nem elég merész [Zene] a magyar nyilvánosság [Zene] ebben [Zene] vélemények kommunikációját [Zene] kritikusan [Zene] vitatott [Zene] kritikáját [Zene] a tévé csak [Zene] a véleménycentrum [Zene] minden pillanatban [Zene] a két tábor között [Zene] másrészt a véleménycentrum [Zene] résztvevői közül [Zene] az illiberális [Zene] az igazságot [Zene] saját [Zene] a magyar közhangulatban [Zene] csak [Zene] ezeket a véleményeket [Zene] a véleménycentrumot [Zene] támogatja [Zene] a magyar ellenzék [Zene] tábora [Zene] mindamellett [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] nem elég merész [Zene] kritizáló vélemények [Zene] platformot [Zene] [Zene] [Zene] tudományos [Zene] platformot [Zene] a módszertan [Zene] a módszertant [Zene] a magyar állam érdekében [Zene] az illiberális [Zene] érdekében [Zene] [Zene] a magyar állam érdekében [Zene] [Zene] a tulajdonosai [Zene] hosszú [Zene] a magyar állam érdekében [Zene] a véleménycentrum elindulása [Zene] médiavállalkozás [Zene] kevesebb energiabefektetéssel [Zene] a havi műsor [Zene] a havi műsor [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] de a havi [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] az öt címet [Zene] az öt címet [Zene] a havi műsor [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] a hírportál [Zene] a havi műsor [Zene] az öt címet [Zene] a hírportál [Zene] a havi műsor [Zene] a havi műsor [Zene] az öt címet [Zene] a havi műsor [Zene] a véleménycentrum [Zene] a havi műsor [Zene] az öt címet [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] a véleménycentrumot [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] [Zene] a véleménycentrumot [Zene] a véleménycentrumot [Zene] a véleménycentrumnak [Zene] a véleménycentrum [Zene] a havi műsor [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] a havi műsor [Zene] [Zene] a véleménycentrum [Zene] a havi műsor [Zene] a havi műsor [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] a véleménycentrumot [Zene] a véleménycentrum [Zene] a véleménycentrumot [Zene] a véleménycentrum [Zene] a véleménycentrumnak [Zene] a véleménycentrum [Zene] a havi műsor [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] a havi műsor [Zene] [Zene] a véleménycentrum [Zene] a havi műsor [Zene] a havi műsor [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] a véleménycentrumot [Zene] a véleménycentrum [Zene] a véleménycentrumot [Zene] a véleménycentrum [Zene] a véleménycentrumnak [Zene] a véleménycentrum [Zene] a havi műsor [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] a havi műsor [Zene] [Zene] a véleménycentrum [Zene] a havi műsor [Zene] a havi műsor [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] a véleménycentrumot [Zene] a véleménycentrum [Zene] a véleménycentrumot [Zene] a véleménycentrum [Zene] a véleménycentrumnak [Zene] a véleménycentrum [Zene] a havi műsor [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] a véleménycentrum [Zene] a havi műsor [Zene] [Zene]
Kullancsok & testmasszázs: eljárás indult a NER-es pap ellen; Radnóti titok | Önkényes Mérvadó #968,https://www.youtube.com/watch?v=FoDY4kg3WxA,2024-12-11T17:00:06Z,"Az Inga falait díszítő arcképcsarnok képeiből készült naptár már elérhető a Szélsőközép Webshopban: https://szelsokozep.hu/inga-falinaptar-2025

Iratkozz fel a csatornára, és ha teheted, támogasd itt az Önkényes Mérvadót:
https://www.donably.com/szelsokozep

00:00 Zaklatással vádolják Pajor András atyát
27:29 Radnóti nem akart mártírhalált halni, holokauszt áldozat volt – Beszélgetés Ács Dániel: Nem tudhatod - Egy tarkólövés meghamisítása című könyve nyomán
47:46 Hová tűntek Dienes András kéziratai? – Beszélgetés Ács Dániel: Nem tudhatod - Egy tarkólövés meghamisítása című könyve nyomán

Műsorvezetők: Puzsér Róbert, Horváth Oszkár, Kovács 4 Zoli
Szerkesztő: Czifrus Réka
Felvétel: 2024.12.06.

YouTube: https://www.youtube.com/@szelsokozepprodukcio
Facebook: https://www.facebook.com/onkenyes
Web: https://onkenyes.hu/","**Radnóti halálának rejtélye és a baráti kör elhallgatott szerepe**  DNS András irodalomtörténész a Radnóti Miklós halálát kutató anyagait eltűnték a vonaton 1962-ben  pár nappal halála előtt. A szerző  Ác Dániel ""Nem tudhatod  egy tarkólövés meghamisítása"" című könyvében ennek a táskának a feltételezett tartalmát vizsgálja.  A könyv három fő szálra oszlik: DNS András kutatói története  maga Radnóti életrajza és a halál utáni személyisége  valamint a Radnóti-baráti kör  akik később a költő kultuszát építették fel.  A kutatás során kiderül  hogy Radnótit nem németek vagy nyilasok végezték ki  hanem magyar honvéd keretlegények. A baráti kör  köztük Gyarmati Fanni és Ortuta Gyula  ezt elhallgatták  hogy a fasizmus mártírjából nemzeti hős lehessen.  A könyv feltárja  hogy a baráti kör nemcsak Radnóti halálával kapcsolatos hamis mítoszt épített fel  hanem a kommunista hatalomátvétel után is a hatalmi elit részévé váltak  és segítették a hortista korszak bűneinek eltussolását.  A szerző rámutat arra  hogy a szélsőségek közötti lengés negatív hatású lehet  és a megismert igazság felboríthatja a fennálló rendet. A Radnóti-kultusz és az elhallgatott bűnök története példázza  hogy a múlt manipulálása milyen súlyos következményekkel járhat a társadalomra.  A könyv befejezésül felhívja a figyelmet arra  hogy a múlt kutatása és az igazság feltárása nélkül nem lehet megérteni a jelent és tervezni a jövőt."
"Menczer erősebb, mint Magyar Péter?; Pszichopatákkal a szóvivő vitatkozik? | Önkényes Mérvadó #967",https://www.youtube.com/watch?v=FizK-VDO68o,2024-12-08T15:00:06Z,"Az Inga falait díszítő arcképcsarnok képeiből készült naptár már elérhető a Szélsőközép Webshopban: https://szelsokozep.hu/inga-falinaptar-2025

Iratkozz fel a csatornára, és ha teheted, támogasd itt az Önkényes Mérvadót:
https://www.donably.com/szelsokozep

Menczer erősebb, mint Magyar Péter? 
Pszichopatákkal a szóvivő vitatkozik?

Műsorvezetők: Horváth Oszkár, Magyar Dávid, Puzsér Róbert
Szerkesztő: Rónyai Júlia
Felvétel: 2024.12.06.

YouTube: https://www.youtube.com/@szelsokozepprodukcio
Facebook: https://www.facebook.com/onkenyes
Web: https://onkenyes.hu/",Magyar Péter és Menczer Tamás összecsapásáról szól a szöveg:  * Magyar Péter egy gyermekotthonba akart bemenni  de Menczer Tamás feltartotta és fenyegette. * Menczer Tamás a fideszes kommunikációs igazgató azt állítja  hogy Magyar Péter kötekedett. * Magyar Péter szerint Menczer Tamás agresszíven viselkedett. * Menczer Tamás szerint Magyar Péter kevés ember elégedetlenségével akarja lejáratni a kormányt. * Magyar Péter szerint Menczer Tamás nem bírja elviselni  hogy nem ő győzedelmeskedik.  Magyar Péter és Menczer Tamás egy vitára hívják egymást  ahol a szakértők véleményét is meghallgatnák.
MÁV reality - Hadházy vs. Lázár; Trump már nem is bűnös; Lakhatási válság | Önkényes Mérvadó #966,https://www.youtube.com/watch?v=i9Ftp8d01i4,2024-12-04T17:00:06Z,"Az Inga falait díszítő arcképcsarnok képeiből készült naptár már elérhető a Szélsőközép Webshopban: https://szelsokozep.hu/inga-falinaptar-2025

Iratkozz fel a csatornára, és ha teheted, támogasd itt az Önkényes Mérvadót:
https://www.donably.com/szelsokozep

00:04 Sz@rból várat építeni? Lázár és az ötpontos akcióterv
27:12 Kukázzák a Trump elleni büntetőpereket
57:38 Lakhatási válság – egyre többe kerül a tető a fejünk fölött

Műsorvezetők: Horváth Oszkár, Csízi Ági, Borsi Bálint
Szerkesztő: Czifrus Réka
Felvétel: 2024.11.29.

YouTube: https://www.youtube.com/@szelsokozepprodukcio
Facebook: https://www.facebook.com/onkenyes
Web: https://onkenyes.hu/",**Összefoglaló:**  A lakásárak Magyarországon az elmúlt 15 évben a 2015-ös árszint 298%-áig emelkedtek  amely jelentősen meghaladja az európai átlagot. A drasztikusan emelkedő lakhatási költségek miatt a magyar háztartások 13%-a jövedelmük 40%-át vagy annál többet költ lakhatásra  és további 43% a piaci bérleti díjak miatt szenved. A drámai adatok ellenére mintegy 200000 üres ingatlan található az országban  és a szociális bérlakások aránya mindössze 2 2%.  Az otthonhoz jutás egyre inkább lottó nyereménnyé válik Magyarországon  mivel az alacsony fizetések és a magas lakásárak miatt az emberek számára szinte lehetetlen önálló ingatlanhoz jutni. A szociális alapon történő támogatások hiánya súlyosbítja a helyzetet  különösen a létminimum alatt és a nyugdíjkorhatár körül élők számára.  Eközben a nyereményalapú tévéshow-k továbbra is szerény összegeket kínálnak  amelyek nem fedezik a lakhatási költségeket. A drágán kínált lakások és a magas bérleti díjak egy olyan kétpólusú társadalmat hoztak létre  ahol a fiatalok és a kisjövedelműek kénytelenek a legalitást súroló megoldásokat választani.  Az elérhető lakhatás hiánya súlyos következményekkel jár a mentális egészségre is. A hajléktalanok gyakran a traumatikus múltjuk vagy a tartós mentális egészségügyi problémák miatt kerülnek az utcára  amelyeket az elesettség csak tovább súlyosbít.  A lakhatási válság megoldásához komplex megközelítésre van szükség  amely magában foglalja a társadalmi bérlakások bővítését  a szociális alapon történő támogatások növelését  valamint a lakhatási költségek szabályozását. A helyzet súlyosságát figyelembe véve szükség van a politikai akarat és az erőforrások egyesítésére a probléma kezelése érdekében.
Magyar Pétert kitiltották a gyermekotthonokból; Orbánt taszítja az agresszió | Önkényes Mérvadó #965,https://www.youtube.com/watch?v=PevSYPa88Ro,2024-12-01T15:00:07Z,"Az Inga falait díszítő arcképcsarnok képeiből készült naptár már elérhető a Szélsőközép Webshopban: https://szelsokozep.hu/inga-falinaptar-2025

Iratkozz fel a csatornára, és ha teheted, támogasd itt az Önkényes Mérvadót:
https://www.donably.com/szelsokozep

Műsorvezetők: Puzsér Róbert, Horváth Oszkár, Borsi Bálint
Szerkesztő: Rónyai Júlia
Felvétel: 2024.11.29.

YouTube: https://www.youtube.com/@szelsokozepprodukcio
Facebook: https://www.facebook.com/onkenyes
Web: https://onkenyes.hu/",Orbán Viktor egy politikai interjúban az ellenzéket az erőszak legitimizálásával és az arroganciával vádolta. Különösen példaként említette  hogy Magyar Pétert  egy független képviselőt nem engedik be a bicskei gyermekotthonba  és hogy nőket megalázó kijelentéseket tesznek.  Orbán szerint ez a viselkedés újdonság a magyar politikában  és erőszakhoz vezethet  ezért meg kell állítani. Azonban a kritikusok szerint ez csak egy cinikus kommunikációs stratégia  amely eltereli a figyelmet a kormány saját hibáiról.  A kormány kommunikációs gépezetének stratégiája  hogy nem mondja ki Magyar Péter nevét  azzal vádolva őt  hogy csak saját befolyását akarja növelni. Azonban ez a stratégia valószínűleg nem lesz hatékony  mivel csak a fideszes híveket erősíti meg előítéleteikben  a többi választót pedig eltávolítja a kormánytól.  Magyar Péter  mint kihívó  a kormány bukásának jele. Az elmúlt kilenc hónapban a kormány nem tudta megoldani a gyermekotthonok problémáját  és Magyar Péter országos körútja felhívta a figyelmet erre a sikertelenségre.  Az Orbán-kormány elutasítása  hogy Magyar Pétert a gyermekotthonba engedje  arra utal  hogy félnek a kihívásoktól  és nem hajlandók a problémákkal szembenézni. Ez a viselkedés valószínűleg a kormány bukásához vezet.
"A Gen Z csak marketing, a boomerek meg irigyek?; A szer - filmelemzés | Önkényes Mérvadó #964",https://www.youtube.com/watch?v=RD0hUJQvDf0,2024-11-27T17:00:07Z,"Iratkozz fel a csatornára, és ha teheted, támogasd itt az Önkényes Mérvadót:
https://www.donably.com/szelsokozep

Az Inga falait díszítő arcképcsarnok képeiből készült naptár már elérhető a Szélsőközép Webshopban: https://szelsokozep.hu/inga-falinaptar-2025

01:46 Életkor alapú diszkrimináció, a Gen Z korosztályra lő a marketing
17:29 Az ageizmus elsősorban az idősebb generációt érinti?
01:01:51 A szer – filmelemzés I.; Ha valaki öreg, az kevés is?
01:18:22 A szer – filmelemzés II.; Elvárások, megfelelés, tartalmatlanság

Műsorvezetők: Horváth Oszkár, Zsótér Indi Dániel, György Imre
Szerkesztő: Czifrus Réka
Felvétel: 2024.11.22.

YouTube: https://www.youtube.com/@szelsokozepprodukcio
Facebook: https://www.facebook.com/onkenyes
Web: https://onkenyes.hu/","A ""Szer"" című horrorfilm a korral járó diszkriminációt taglalja  különös tekintettel az idősebbekre. Egy 50 évét betöltött filmsztár  Elizabeth Sparkle egy titkos szert szerez meg  amely lehetővé teszi számára  hogy ideiglenesen létrehozza fiatalabb énjét. De a két én közötti konfliktus és a fiatalság és az öregség közötti különbségek vizsgálata során a film megkérdőjelezi a fiatalság és a szépség értékeit.  A film egyik fő témája az életkoralapú diszkrimináció  amely a munkahelyen és a médiában is gyakori. A főszereplőt a stúdiófőnök arra kényszeríti  hogy lemondjon  mert szerintük már túl öreg a szerephez. Ez kiemeli a Hollywoodban elterjedt korosztályizmust  amely az idősebb színésznőket gyakran kisebb szerepekre vagy egyáltalán nem alkalmazza.  A film azt is feltárja  hogy a fiatalságot és a szépséget mennyire értékelik a társadalomban  különösen a nők esetében. Elizabeth folyamatosan küzd azzal  hogy megfeleljen a fiatalság elvárásainak  és ennek eredményeként fiatalabb változatát készít. Azonban ez a fiatalabb én sem hoz igazi boldogságot vagy sikert  és Elizabeth végül felismeri  hogy önmagát kell elfogadnia minden hibájával együtt.  A film emellett az öregedés és az idő múlásának kérdését is érinti. Elizabeth kezdetben el van ragadtatva a fiatalabb testtől  de idővel rájön  hogy nem tudja örökre fenntartani ezt a fiatalságot. A film bemutatja az öregedéssel járó fizikai és érzelmi kihívásokat  és kérdéseket vet fel arról  hogy hogyan fogadjuk el változó testünket és elménket.  Összességében a ""Szer"" egy gondolatébresztő és kihívást jelentő film  amely a korral járó diszkriminációval  a fiatalság és a szépség értékeivel  valamint az öregedés folyamatával foglalkozik."
